TIME_PERIOD,Basic drinking water services,Basic sanitation services
2000,81.268,55.541
2001,81.6054,56.303
2002,82.2505,57.4973
2003,82.763,58.6555
2004,83.2708,59.8246
2005,83.7625,61.0186
2006,84.2605,62.2255
2007,84.7521,63.4457
2008,85.2404,64.6681
2009,85.7157,65.8833
2010,86.183,67.0905
2011,86.5729,68.198
2012,87.0181,69.3881
2013,87.459,70.5789
2014,87.8935,71.7684
2015,88.3615,72.9558
2016,88.7825,74.133
2017,89.193,75.2383
2018,89.6056,76.3343
2019,90.0049,77.4279
2020,90.3829,78.4794
2021,90.8048,79.8303
2022,91.1825,80.7712
