TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,6.7,3.3,5.5,6.8,8.5,4.5,8.6,5.1
2001,7.0,3.2,5.8,6.9,8.6,4.7,9.0,5.1
2002,7.2,3.2,6.1,7.0,8.7,5.0,9.4,5.2
2003,7.6,3.1,6.1,7.0,8.9,5.3,9.8,5.3
2004,7.9,3.1,6.0,7.1,9.1,5.6,10.2,5.3
2005,8.3,3.0,5.6,7.1,9.2,6.0,10.5,5.4
2006,8.8,3.0,5.1,7.1,9.3,6.4,10.8,5.5
2007,9.3,3.0,4.7,7.2,9.4,6.8,10.9,5.7
2008,9.8,3.0,4.4,7.2,9.4,7.3,10.9,5.8
2009,10.4,3.0,4.1,7.2,9.3,7.7,10.9,5.9
2010,11.0,2.9,4.0,7.3,9.3,8.2,10.8,6.1
2011,11.7,2.9,3.9,7.3,9.2,8.8,10.6,6.3
2012,12.4,2.9,3.8,7.4,9.0,9.3,10.4,6.5
2013,13.1,2.8,3.7,7.5,8.9,9.9,10.3,6.7
2014,13.9,2.8,3.7,7.6,8.7,10.5,10.1,6.9
2015,14.6,2.8,3.6,7.7,8.5,11.1,10.0,7.1
2016,15.4,2.8,3.6,7.8,8.3,11.7,9.9,7.3
2017,16.1,2.8,3.6,7.9,8.1,12.2,9.8,7.4
2018,16.8,2.8,3.6,8.0,8.0,12.7,9.7,7.6
2019,17.5,2.8,3.6,8.1,7.8,13.1,9.7,7.7
2020,18.2,2.8,3.6,8.3,7.7,13.4,9.7,7.8
2021,18.8,2.8,3.6,8.4,7.7,13.7,9.8,7.9
2022,19.3,2.9,3.7,8.6,7.6,13.9,9.8,8.0
