TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,12.73,10.89,6.89,14.63,17.79,3.03,12.04,17.01
2001,12.34,11.08,6.9,14.38,17.64,3.16,11.94,16.81
2002,12.23,11.22,6.93,14.07,17.4,3.27,11.86,16.18
2003,11.63,11.47,6.89,13.91,16.87,3.46,11.63,16.13
2004,11.57,11.71,6.86,13.99,16.57,3.61,12.0,16.48
2005,10.97,11.95,6.7,13.94,16.06,3.72,12.18,17.14
2006,10.57,11.9,6.67,13.85,15.87,3.77,12.12,17.73
2007,10.4,11.81,6.57,14.15,15.72,3.87,12.05,18.35
2008,10.9,11.65,6.4,13.86,14.99,3.97,12.22,18.34
2009,9.69,11.61,6.34,13.29,14.1,4.06,11.8,18.36
2010,9.35,11.54,6.27,13.04,13.87,4.17,11.93,18.64
2011,8.97,12.15,6.21,12.68,13.86,4.15,11.33,18.84
2012,8.87,12.8,6.29,12.71,13.8,4.14,11.39,19.09
2013,8.59,12.98,6.36,12.46,13.66,4.1,11.37,18.88
2014,9.07,12.91,6.49,12.67,13.53,4.17,11.55,18.77
2015,8.74,12.97,6.62,12.58,13.45,4.18,11.41,18.38
2016,8.09,12.87,6.59,12.21,13.43,4.19,11.23,18.08
2017,7.7,12.89,6.61,12.19,13.41,4.24,11.33,17.73
2018,7.79,12.92,6.56,12.14,13.37,4.23,11.58,17.43
2019,7.26,12.79,6.54,11.99,13.35,4.27,11.53,17.24
2020,7.25,12.29,6.65,12.02,13.36,4.34,11.73,17.37
2021,7.22,12.4,6.69,11.98,13.13,4.46,11.65,17.54
