Year,Denmark,Finland,Iceland,Norway,Sweden
2000,15.46,33.41,99.93,99.72,57.25
2001,15.49,28.93,99.95,99.52,51.56
2002,17.28,26.46,99.93,99.58,48.5
2003,17.49,22.61,99.93,99.4,43.38
2004,23.54,29.86,99.95,99.35,44.95
2005,27.07,33.25,99.94,99.47,51.29
2006,20.17,27.29,99.96,99.32,49.6
2007,26.21,29.94,99.97,99.13,52.03
2008,27.57,35.88,99.99,99.4,54.31
2009,27.66,30.11,99.99,96.57,58.42
2010,31.98,29.99,99.99,95.74,55.3
2011,40.25,32.89,99.99,96.54,55.95
2012,48.33,40.56,99.98,97.97,59.07
2013,45.96,35.97,99.97,97.68,54.03
2014,55.88,38.58,99.98,97.65,55.84
2015,65.43,44.5,99.98,97.68,63.27
2016,60.22,44.23,99.98,97.79,57.17
2017,70.26,46.61,99.99,97.81,57.88
2018,68.36,45.74,99.99,97.74,55.8
2019,78.17,46.44,99.99,97.7,58.74
2020,81.62,51.65,99.98,98.38,68.47
2021,78.96,52.92,99.99,99.08,66.37
