TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,71.74814,70.16259,4.1268,55.11739,68.14905
2001,73.46976,75.48995,4.01874,56.34907,68.96319
2002,72.88711,77.91781,4.11332,55.22238,69.68474
2003,77.95607,85.53807,4.07343,55.76284,70.05293
2004,71.98769,81.85013,4.1746,56.15119,69.48757
2005,67.60107,69.85138,4.02291,55.26962,66.66253
2006,75.3034,81.22818,4.60648,55.23838,66.28164
2007,70.73152,79.57436,4.9011,56.8954,65.16448
2008,67.13743,71.46537,5.29994,55.44236,62.7889
2009,64.3313,67.82841,4.96628,53.05384,58.52368
2010,64.66411,75.62163,4.86627,55.26559,64.55743
2011,59.42958,67.87663,4.64706,54.50957,60.23062
2012,54.83768,62.40231,4.65736,53.99811,57.37645
2013,56.56081,62.79727,4.65439,53.9891,55.71895
2014,52.33215,58.65976,4.68566,53.86314,53.8333
2015,49.73765,55.08728,4.76399,54.12511,53.99852
2016,51.76436,58.007,4.71662,53.09507,53.57152
2017,49.64888,55.23018,4.79542,52.08948,53.01059
2018,49.6213,56.28182,4.82219,52.21146,52.17022
2019,45.81218,53.02125,4.72235,50.33398,50.91986
