TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,54.5741198919897,53.9276762287272,42.2893169156704,56.4415863234799,55.3329504669765
2001,53.9779778144928,51.333075199823,40.3232713876251,56.4694864492538,53.0695589901631
2002,53.1988864559461,51.5435798661153,39.8637029553968,55.2864590339943,51.2546491292889
2003,53.5062094962871,50.8056066267323,41.0647034899267,54.9739719137355,51.5965483913564
2004,55.0705111945403,50.3514783506973,42.195924196121,55.7425042904735,51.681969504564
2005,56.1965670502143,50.6512353737696,50.005175875386,56.7034357510878,53.1106057995589
2006,54.8168535184811,50.9725443472125,51.2880880672164,58.586681682576,52.1978954840809
2007,54.6118517683567,50.6505516592542,50.3840953399636,58.2640511996351,51.6582346417981
2008,53.5846836194885,51.0205132164826,51.3079909715547,58.6257249938725,50.9131943030016
2009,53.7381622780454,50.4762114367775,45.0892080133722,56.0468869223189,50.484845564439
2010,53.9630001446774,50.251138761474,42.2402355183216,55.6414310129467,49.2902777354144
2011,54.373545499536,51.5434499338377,44.124901942056,56.8876238370055,48.3872845472189
2012,54.4644807762736,52.1844237627899,45.2262283618098,56.4399489482813,48.7803913669095
2013,54.584731019751,53.2348608317305,44.8326726030659,54.3992232412875,49.1418696508279
2014,56.362140457761,53.2472679642527,46.2319030584006,54.1564065875916,48.1440518141723
2015,53.1980655641744,53.1532511767628,43.1746672871369,54.5218708857895,48.3932054444697
2016,52.3726295883545,52.9983725484787,59.0741814529035,54.7551634073001,49.7562304772039
2017,52.3357927185174,52.0041891109628,45.4487787740942,54.6361848186341,49.6493044249479
2018,51.3087606482005,51.550573540876,44.8364894725751,55.8620670249585,49.5703669154358
2019,53.7993600048465,51.4083332638478,41.939252374509,57.2579812340956,48.6695926960034
2020,53.7509897070467,50.6830205011198,42.0519239846206,54.9630996255863,48.2518540100323
2021,54.4378452481594,51.9760888673234,41.5259369390773,58.4658958256426,48.3996241250388
