TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,4110.08,121.48,145.82,1166.85,3935.3,226.05,630.41,870.71
2001,4163.67,125.81,145.19,1148.14,3893.31,209.77,612.59,873.82
2002,4312.95,130.27,151.43,1115.45,3914.19,211.48,617.12,930.21
2003,4332.42,136.97,145.34,1119.47,4025.7,222.43,634.87,1058.04
2004,4276.51,146.02,145.96,1186.94,4207.09,234.65,671.31,1203.39
2005,4211.66,157.72,148.68,1214.24,4302.77,220.5,705.13,1278.97
2006,4190.68,176.98,152.42,1249.05,4525.48,230.3,740.46,1378.97
2007,4263.16,187.1,155.96,1283.31,4663.1,259.87,766.76,1517.27
2008,3940.51,196.29,156.3,1301.84,4557.86,201.97,785.66,1581.05
2009,3851.13,209.74,148.61,1184.48,4000.39,182.63,746.8,1583.04
2010,3794.98,224.07,153.18,1251.45,4272.04,201.99,791.38,1766.62
2011,3774.91,232.79,158.65,1282.27,4368.34,205.08,854.87,1862.92
2012,3626.64,239.17,164.25,1272.9,4308.82,183.42,859.37,1972.24
2013,3552.17,244.9,171.11,1282.18,4345.96,178.53,877.62,2064.23
2014,3471.42,259.19,174.13,1253.64,4436.96,184.84,896.61,2189.85
2015,3374.67,277.08,172.87,1223.61,4524.02,185.23,909.52,2291.54
2016,3324.92,294.32,170.63,1179.14,4554.94,189.46,915.28,2381.99
2017,3343.83,309.64,171.96,1170.81,4694.66,189.12,942.74,2492.65
2018,3283.19,320.07,173.77,1154.55,4834.18,189.36,941.52,2607.71
2019,3182.63,317.08,171.79,1124.08,4875.16,192.45,922.18,2667.85
2020,3184.36,314.54,161.58,1035.22,4609.55,184.77,886.49,2672.32
2021,3252.69,339.5,166.14,1067.77,4940.88,188.59,960.54,2871.49
2022,3266.63,359.13,166.51,1088.68,5051.64,196.5,1000.78,2956.19
