TIME_PERIOD,Europe and Northern America,Northern Africa and Western Asia,Sub-Saharan Africa,Central and Southern Asia,Eastern and South-Eastern Asia,Oceania*,Australia and New Zealand,Latin America and the Caribbean
2000,8.07,11.07,5.82,7.12,3.51,4.06,6.25,9.33
2001,7.72,11.33,5.73,7.25,3.92,3.92,6.52,9.06
2002,8.0,11.73,5.65,7.37,4.23,3.81,6.18,9.5
2003,8.11,11.68,5.6,7.49,4.46,3.68,5.73,9.34
2004,7.97,10.98,5.45,7.53,4.41,3.57,5.15,8.74
2005,7.56,10.79,5.34,7.67,4.46,3.37,4.82,8.29
2006,7.03,9.87,5.28,7.5,4.34,3.34,4.62,7.59
2007,6.33,9.55,5.22,7.4,4.29,3.29,4.26,7.15
2008,6.57,9.48,5.19,7.28,4.38,3.39,4.22,6.79
2009,8.95,9.75,5.3,7.41,4.46,3.32,5.65,7.76
2010,9.21,9.46,5.65,7.26,4.21,3.19,5.43,7.06
2011,8.89,9.94,5.43,7.11,4.11,3.7,5.31,6.69
2012,8.83,9.98,5.36,7.16,4.04,3.65,5.5,6.41
2013,8.77,10.12,5.19,7.18,4.03,3.58,5.69,6.37
2014,8.16,10.38,5.29,7.03,4.0,3.36,5.97,6.17
2015,7.57,10.5,5.48,7.17,4.07,3.38,5.94,6.67
2016,7.04,10.44,5.52,7.2,3.98,3.3,5.61,7.78
2017,6.37,10.5,5.59,7.14,3.86,3.27,5.44,8.04
2018,5.75,10.23,5.58,7.1,3.74,3.28,5.13,7.93
2019,5.33,10.4,5.74,6.34,3.81,3.18,4.98,7.98
2020,7.17,11.23,6.26,9.11,4.28,3.56,6.14,10.2
2021,6.18,10.75,6.45,7.42,3.97,3.61,4.89,9.23
2022,5.1,10.07,6.4,7.14,4.06,3.54,3.59,7.02
