TIME_PERIOD,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,16.2,26.7,10.8,20.3,8.0,12.8
2001,18.0,26.0,10.5,19.8,7.5,12.5
2002,20.0,25.5,10.9,19.4,7.4,11.6
2003,19.7,25.1,10.0,22.0,7.5,11.1
2004,20.5,24.3,9.9,21.5,7.2,10.3
2005,20.0,22.5,9.3,21.7,7.1,9.6
2006,17.8,22.0,8.7,20.0,6.6,9.0
2007,15.5,22.0,8.3,21.8,6.3,7.9
2008,14.9,21.5,7.7,20.6,6.4,6.9
2009,15.4,20.8,7.7,21.3,6.3,6.2
2010,15.1,17.6,6.2,21.6,5.7,4.8
2011,14.3,17.3,5.9,20.5,6.3,4.2
2012,14.6,17.1,5.7,19.6,6.6,3.8
2013,13.8,17.3,5.5,19.2,6.6,3.6
2014,13.3,17.6,5.1,18.4,6.8,3.2
2015,13.7,18.2,5.3,20.0,7.4,3.1
2016,12.6,19.1,6.1,19.7,8.0,2.8
2017,11.9,18.9,5.8,19.4,8.1,2.5
2018,11.9,19.1,5.9,20.2,8.3,2.5
2019,12.9,19.5,5.6,20.2,8.2,
2020,15.2,21.6,6.5,18.8,8.4,
2021,15.9,22.2,7.0,19.8,8.7,
2022,15.2,22.5,6.5,20.9,9.2,
