Year,Denmark,Finland,Iceland,Norway,Sweden
2000,0.593,0.758,,0.403,0.78
2001,,0.719,,,
2002,,0.716,,,
2003,,0.713,,,
2004,,0.708,,,
2005,0.531,0.676,0.014,0.418,0.887
2006,,0.652,0.027,0.384,
2007,,0.725,0.016,0.439,
2008,,0.664,0.039,0.44,
2009,,0.547,0.041,0.381,
2010,0.457,0.666,0.091,0.456,0.799
2011,,0.67,0.083,0.443,
2012,0.593,0.66,0.075,0.459,
2013,0.606,0.716,0.12,0.441,
2014,0.564,0.724,0.128,0.463,
2015,0.523,0.763,0.102,0.522,0.831
2016,0.58,0.797,0.07,0.527,
2017,0.673,0.831,0.093,0.539,
2018,0.659,0.897,0.092,0.56,
2019,0.647,0.839,0.033,0.576,
2020,0.695,0.793,0.017,0.542,
2021,0.581,0.881,,0.564,
