TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,25.47,6.88,11.52,15.18,16.8,3.64,5.28,16.39
2001,26.49,6.73,11.73,14.7,17.36,2.36,5.45,16.93
2002,27.78,6.8,12.31,15.7,18.3,2.41,5.62,17.23
2003,27.04,9.17,13.31,17.65,18.96,2.41,6.84,17.54
2004,26.67,9.17,13.88,18.49,19.26,2.41,6.78,16.58
2005,26.3,9.25,14.44,19.01,20.28,3.01,7.52,17.23
2006,28.04,12.71,16.32,20.21,20.4,3.21,8.63,17.49
2007,28.04,12.65,16.5,20.48,21.19,2.57,9.66,17.84
2008,29.52,13.85,17.26,22.16,22.06,2.55,10.45,18.24
2009,29.78,17.01,18.09,22.24,22.39,2.53,10.38,18.46
2010,30.15,18.5,18.4,22.7,22.94,2.53,10.92,18.87
2011,28.68,18.51,19.21,23.01,22.98,2.34,12.0,18.27
2012,28.04,18.94,19.78,23.03,23.57,2.56,12.83,18.2
2013,28.04,18.97,20.81,24.49,24.57,3.01,16.96,18.35
2014,29.52,17.29,22.79,25.92,26.0,3.23,17.04,19.36
2015,28.78,18.35,22.64,27.38,26.35,4.37,17.22,19.45
2016,28.78,18.26,23.27,28.2,26.78,4.78,17.79,19.61
2017,31.11,18.53,23.73,29.41,27.58,6.02,18.43,20.05
2018,32.96,15.37,23.64,29.52,28.41,5.65,18.14,20.26
2019,34.44,16.9,23.88,31.58,29.44,6.07,18.71,20.76
2020,35.06,18.86,24.34,32.09,31.02,6.2,17.42,21.16
2021,38.75,18.91,24.94,32.96,31.53,6.4,19.18,21.61
2022,39.11,19.35,25.95,34.9,32.32,5.98,18.42,21.78
2023,43.54,18.63,26.47,35.84,32.17,6.44,18.0,22.21
