TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,0.97656,0.99107,0.87229,0.95706,0.99314
2001,0.97618,0.99104,0.87213,0.95653,0.99311
2002,0.97579,0.991,0.8718,0.95604,0.99308
2003,0.97561,0.99097,0.87186,0.95561,0.99306
2004,0.97561,0.99093,0.87158,0.95524,0.99304
2005,0.97551,0.99083,0.87208,0.95493,0.993
2006,0.97554,0.99073,0.87432,0.95462,0.99293
2007,0.97552,0.99063,0.87555,0.95445,0.99288
2008,0.97557,0.99052,0.877,0.95435,0.99283
2009,0.9756,0.99045,0.87774,0.95419,0.99279
2010,0.97562,0.99038,0.87827,0.95407,0.99275
2011,0.97563,0.99031,0.87689,0.95362,0.99272
2012,0.97544,0.99024,0.87631,0.95254,0.99269
2013,0.97517,0.99017,0.87258,0.95138,0.99259
2014,0.97465,0.99011,0.86938,0.95008,0.99249
2015,0.9742,0.99005,0.86769,0.94913,0.99239
2016,0.974,0.98998,0.86642,0.94814,0.9923
2017,0.97393,0.98998,0.86589,0.9479,0.99229
2018,0.97392,0.98998,0.86537,0.94755,0.99229
2019,0.974,0.98998,0.86559,0.94746,0.99229
2020,0.97402,0.98998,0.86577,0.9474,0.99229
2021,0.97406,0.98998,0.86584,0.94722,0.99229
2022,0.97411,0.98998,0.86581,0.94712,0.9923
