TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,87.383476349114,72.4594809198337,83.7124364362585,79.7474605757899,83.9607405733781
2001,85.3728340410028,67.7858154970542,76.2479270184302,76.1468011876449,81.7746355831636
2002,84.8254284671126,66.817943299627,73.1415119316606,70.6201634152625,78.4793854927831
2003,84.48714355413,64.0011441180075,73.5847849437422,67.0765214469417,79.1546291101907
2004,87.0081852705222,63.3071216423086,79.0019655611551,73.90650131661,81.7556428288064
2005,93.094223816942,63.5011195587547,80.514108496392,80.9655924545488,84.6216504840166
2006,92.6625915878732,64.37167749557,81.3596126016687,84.4015162786772,86.0302597897439
2007,93.0425898566421,65.5692101834571,79.396701016176,81.3123845878661,87.0259798005464
2008,88.2592345851663,62.9465610268019,49.8758046935286,82.0697481014808,83.8177988603906
2009,79.1177606415538,53.9146425083634,53.0167533091508,69.1797970281498,79.4665502134523
2010,78.9351170698912,53.8862764447041,58.1446960966933,72.8775512493774,81.1451168798796
2011,79.3229875826043,56.4834299001661,58.0625559384973,75.3726150171254,80.1902873740045
2012,78.5123929316447,54.7609022005786,63.6030316081032,75.5055588146466,78.5621595925443
2013,82.466000651718,55.2001685260118,66.7778234919461,69.6481535676494,78.1881943708636
2014,88.1565404029786,54.8741705916734,73.1243239249605,63.605014248999,79.0789629573613
2015,84.6257622411127,55.4292037281356,72.7319712052606,58.0164469847196,82.1745429746218
2016,86.7312631480931,56.490018911536,100.778886423465,55.9670194986072,84.5481510042249
2017,90.0120068811788,58.4797677189804,75.8238423885117,57.6908780789005,85.4489552613415
2018,87.3875890793168,58.0983440406715,75.125881986282,61.4020956514705,83.810554780811
2019,94.3802927339258,57.9231099998407,72.9265691794174,58.5517859704092,83.0667245195031
2020,87.9476198743545,53.6717046506765,65.1229428425695,48.8754995332513,77.5696208637176
2021,94.1818101786094,56.3702045385162,65.1190532132772,68.004107522437,82.4256453306305
