TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,3305.49183,130.67638,62.69062,239.59018,2775.61138,534.51251,689.04846
2001,3457.57906,133.31722,65.28046,254.69523,2837.16242,530.39309,719.85243
2002,3616.64312,136.86415,64.13634,289.22575,2891.00882,531.10551,731.97499
2003,3782.57595,139.60691,65.09922,303.11175,3001.78831,544.08353,771.62266
2004,3917.74374,143.06717,70.69998,337.14443,3018.82091,545.53058,798.49691
2005,3991.70577,151.16572,70.73851,357.42336,3060.34862,555.02086,887.40777
2006,4086.7286,159.89637,69.44924,361.42843,3121.99624,570.70698,931.32345
2007,4153.18866,166.84479,67.83535,373.81828,3158.67252,588.22248,1007.31461
2008,4216.73646,170.61049,73.59983,391.24253,3248.30683,566.86387,1053.17171
2009,4319.41136,171.96838,78.04503,410.40197,3304.36649,589.80709,1102.16628
2010,4396.31934,175.02103,81.08395,430.342,3295.14357,618.78278,1148.36109
2011,4565.88005,182.34626,83.369,455.80931,3366.7222,648.83934,1212.93966
2012,4760.71728,192.25567,85.18081,459.33986,3402.81103,708.81491,1266.41928
2013,4773.19007,201.98791,87.76497,479.81367,3471.51708,744.8767,1317.39543
2014,4881.44154,220.18878,89.3609,498.73095,3533.9558,785.56218,1355.55356
2015,4910.85634,238.15638,93.77635,504.98332,3624.95162,803.13328,1386.38354
2016,4831.07583,262.62391,95.92384,521.29777,3644.85136,830.55033,1429.86884
2017,4839.63716,287.29987,98.90429,515.71557,3763.95576,851.81444,1467.43876
2018,4839.198,295.71014,99.05905,514.49974,3846.57716,876.73286,1528.50997
