TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,19.33,96.23,128.92,83.48,27.8,69.45,51.58,21.91
2001,19.05,94.32,128.76,82.3,26.8,69.75,50.16,22.05
2002,18.43,89.21,127.61,79.96,26.04,68.58,48.49,21.67
2003,17.8,84.32,126.24,77.66,25.65,68.21,48.14,21.21
2004,17.97,74.59,125.01,77.25,25.59,66.73,47.77,20.7
2005,18.07,61.24,124.32,76.91,25.38,65.79,47.76,21.08
2006,18.1,55.58,122.28,75.66,25.9,65.33,48.54,21.4
2007,19.44,54.0,120.45,75.1,26.31,64.32,48.31,22.18
2008,20.57,55.21,120.04,74.4,26.55,62.93,47.84,23.15
2009,19.78,50.31,118.15,73.85,25.72,61.83,47.89,24.08
2010,18.96,48.78,117.69,73.08,23.81,62.92,47.9,24.66
2011,17.89,46.11,117.82,72.98,22.16,62.58,47.7,24.58
2012,17.38,44.64,116.52,72.35,21.06,62.53,47.21,25.13
2013,16.31,44.11,115.39,71.06,19.5,62.07,47.15,24.95
2014,14.34,43.46,114.08,69.41,18.33,59.76,46.42,24.7
2015,13.48,34.47,110.85,67.25,16.95,57.3,45.23,23.67
2016,11.92,32.51,107.75,64.19,15.7,55.38,43.31,23.03
2017,11.32,32.07,105.42,62.36,14.38,54.43,41.91,22.6
2018,10.57,31.09,104.24,60.03,13.35,54.0,40.61,21.57
2019,9.76,29.69,103.55,57.3,12.79,53.28,39.55,21.24
2020,8.92,29.07,102.11,54.76,12.46,52.73,38.48,20.56
2021,8.89,28.79,101.0,53.22,12.57,51.79,37.71,20.06
2022,8.45,27.77,99.39,52.14,12.06,50.97,36.74,19.92
2023,8.09,26.83,97.86,51.37,11.6,49.91,35.85,19.74
