TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,10.73,31.68,60.66,60.18,39.82
2001,11.12,29.25,62.12,59.59,37.38
2002,11.86,29.52,61.84,59.47,35.85
2003,12.72,28.35,61.88,56.23,34.56
2004,14.44,31.1,61.88,56.85,35.49
2005,16.12,31.52,62.7,58.56,39.3
2006,15.26,31.25,64.19,57.02,40.08
2007,17.69,31.8,67.5,57.36,41.75
2008,18.54,34.61,73.92,58.45,43.2
2009,19.33,32.46,74.61,56.72,45.71
2010,21.2,33.43,75.89,56.71,44.7
2011,23.83,35.14,77.12,56.71,45.43
2012,26.93,38.72,77.71,57.68,48.29
2013,27.05,38.52,76.62,57.24,47.27
2014,30.19,41.25,76.95,56.32,48.61
2015,32.53,43.23,77.76,57.28,51.91
2016,31.95,42.4,80.77,58.37,50.89
2017,35.02,44.48,80.68,59.52,51.82
2018,34.56,44.3,81.26,59.74,51.56
2019,37.29,45.6,81.57,60.6,52.87
2020,39.7,47.49,82.79,61.29,58.4
